M812869 1-(4-叔丁基苯基)-3-(4-甲氧基苯基)-13-丙二酮 &gt;98.0%(T),1-(4-叔丁基苯基)-3-(4-甲氧基苯基)-13-丙二酮丁基甲氧基二苄酰化甲烷4-叔丁基-4'-甲氧基二苯酰甲烷巴松 1789防晒剂BMDM(UV-A)阿伏苯宗 ,70356-09-1,C<sub>20</sub>H<sub>22</sub>O<sub>3</sub> , 1-(4-Methoxyphenyl)-3-(4-<i>tert</i>-butylphenyl)-13-propanedione,&gt;98.0%(T) | &gt;98.0%(T),87.00 | 210.00,87.00 | 210.00,现货 | 现货, M812869-25g |  M812869-100g,              <table class="productOverViewInfo" cellspacing="5" cellpadding="0" width="99%"><tr style="BACKGROUND-COLOR: #fff"><th width="100">熔点:</th>                    <td>81-84 °C</td>                </tr><tr style="BACKGROUND-COLOR: #fff" id="itmdet-baseCnt-formula"><th width="100">密度:</th>                    <td>1.079</td>                </tr><tr style="BACKGROUND-COLOR: #fff"><th width="100">储存条件:</th>                    <td>室温密封</td>                </tr></table>
A823020 苊烯 99%,苊烯 ;萘并乙烯萘嵌戊烯 18-亚乙基萘 ,208-96-8,C<sub>12</sub>H<sub>8</sub> , Acenaphthylene,99% | 99%,528.00 | 1262.00,528.00 | 1262.00,预计交期：5~7个工作日 | 现货, A823020-5g |  A823020-25g,              <table class="productOverViewInfo" cellspacing="5" cellpadding="0" width="99%"><tr style="BACKGROUND-COLOR: #fff"><th width="100">熔点:</th>                    <td>78-82 °C(lit.)</td>                </tr><tr style="BACKGROUND-COLOR: #fff"><th width="100">沸点:</th>                    <td>280 °C(lit.)</td>                </tr><tr style="BACKGROUND-COLOR: #fff" id="itmdet-baseCnt-formula"><th width="100">密度:</th>                    <td>0.899 g/mL at 25 °C(lit.)</td>                </tr><tr style="BACKGROUND-COLOR: #fff"><th width="100">闪点:</th>                    <td>122°C</td>                </tr><tr style="BACKGROUND-COLOR: #fff"><th width="100">储存条件:</th>                    <td>室温</td>                </tr></table>
M812869 1-(4-叔丁基苯基)-3-(4-甲氧基苯基)-13-丙二酮 &gt;98.0%(T),1-(4-叔丁基苯基)-3-(4-甲氧基苯基)-13-丙二酮丁基甲氧基二苄酰化甲烷4-叔丁基-4'-甲氧基二苯酰甲烷巴松 1789防晒剂BMDM(UV-A)阿伏苯宗 ,70356-09-1,C<sub>20</sub>H<sub>22</sub>O<sub>3</sub> , 1-(4-Methoxyphenyl)-3-(4-<i>tert</i>-butylphenyl)-13-propanedione,&gt;98.0%(T) | &gt;98.0%(T),87.00 | 210.00,87.00 | 210.00,现货 | 现货, M812869-25g |  M812869-100g,              <table class="productOverViewInfo" cellspacing="5" cellpadding="0" width="99%"><tr style="BACKGROUND-COLOR: #fff"><th width="100">熔点:</th>                    <td>81-84 °C</td>                </tr><tr style="BACKGROUND-COLOR: #fff" id="itmdet-baseCnt-formula"><th width="100">密度:</th>                    <td>1.079</td>                </tr><tr style="BACKGROUND-COLOR: #fff"><th width="100">储存条件:</th>                    <td>室温密封</td>                </tr></table>
A823020 苊烯 99%,苊烯 ;萘并乙烯萘嵌戊烯 18-亚乙基萘 ,208-96-8,C<sub>12</sub>H<sub>8</sub> , Acenaphthylene,99% | 99%,528.00 | 1262.00,528.00 | 1262.00,预计交期：5~7个工作日 | 现货, A823020-5g |  A823020-25g,              <table class="productOverViewInfo" cellspacing="5" cellpadding="0" width="99%"><tr style="BACKGROUND-COLOR: #fff"><th width="100">熔点:</th>                    <td>78-82 °C(lit.)</td>                </tr><tr style="BACKGROUND-COLOR: #fff"><th width="100">沸点:</th>                    <td>280 °C(lit.)</td>                </tr><tr style="BACKGROUND-COLOR: #fff" id="itmdet-baseCnt-formula"><th width="100">密度:</th>                    <td>0.899 g/mL at 25 °C(lit.)</td>                </tr><tr style="BACKGROUND-COLOR: #fff"><th width="100">闪点:</th>                    <td>122°C</td>                </tr><tr style="BACKGROUND-COLOR: #fff"><th width="100">储存条件:</th>                    <td>室温</td>                </tr></table>
A800841 乙酰丙酮 Standard for GC≥99.6%(GC),乙酰丙酮 ;二乙酰基甲烷24-戊二酮 ,123-54-6,C<sub>5</sub>H<sub>8</sub>O<sub>2</sub> , Acetylacetone,Standard for GC≥99.6%(GC),75.00,75.00,现货, A800841-5ml,              <table class="productOverViewInfo" cellspacing="5" cellpadding="0" width="99%"><tr style="BACKGROUND-COLOR: #fff"><th width="100">折光率:</th>                    <td>n20/D 1.452(lit.)</td>                </tr><tr style="BACKGROUND-COLOR: #fff"><th width="100">熔点:</th>                    <td>-23 °C</td>                </tr><tr style="BACKGROUND-COLOR: #fff"><th width="100">沸点:</th>                    <td>140.4 °C(lit.)</td>                </tr><tr style="BACKGROUND-COLOR: #fff" id="itmdet-baseCnt-formula"><th width="100">密度:</th>                    <td>0.975 g/mL at 25 °C(lit.)</td>                </tr><tr style="BACKGROUND-COLOR: #fff"><th width="100">闪点:</th>                    <td>38°C</td>                </tr><tr style="BACKGROUND-COLOR: #fff"><th width="100">储存条件:</th>                    <td>2~8°C</td>                </tr></table>
B801831 22'-联喹啉 98%,22'-联喹啉 ;αα'-联喹啉亚铜试剂 ,119-91-5,C<sub>18</sub>H<sub>12</sub>N<sub>2</sub> , 22'-Biquinoline,98% | 98% | 98%,92.00 | 260.00 | 860.00,92.00 | 260.00 | 860.00,现货 | 现货 | 预计交期：5~7个工作日, B801831-1g |  B801831-5g |  B801831-25g,              <table class="productOverViewInfo" cellspacing="5" cellpadding="0" width="99%"><tr style="BACKGROUND-COLOR: #fff"><th width="100">熔点:</th>                    <td>192-195 °C(lit.)</td>                </tr><tr style="BACKGROUND-COLOR: #fff"><th width="100">储存条件:</th>                    <td>室温</td>                </tr></table>
B801884 双(二苯基膦)甲烷 98%,双(二苯基膦)甲烷 ;双二苯基膦甲烷 ,2071-20-7,C<sub>25</sub>H<sub>22</sub>P<sub>2</sub> , Bis(diphenylphosphino)methane,98% | 98% | 98%,69.30  <img style="position:absolute;top:6px;" src="http://www.macklin.cn/static/images/sales.gif"/> | 189.00 | 619.00,99.00 | 189.00 | 619.00,现货 | 现货 | 现货, B801884-1g |  B801884-5g |  B801884-25g,              <table class="productOverViewInfo" cellspacing="5" cellpadding="0" width="99%"><tr style="BACKGROUND-COLOR: #fff"><th width="100">熔点:</th>                    <td>118-119 °C(lit.)</td>                </tr><tr style="BACKGROUND-COLOR: #fff"><th width="100">储存条件:</th>                    <td>室温</td>                </tr></table>
B801885 12-双(二苯基膦)乙烷 98%,12-双(二苯基膦)乙烷 ,1663-45-2,C<sub>26</sub>H<sub>24</sub>P<sub>2</sub> , 12-Bis(diphenylphosphino)ethane,98% | 98% | 98%,46.80  <img style="position:absolute;top:6px;" src="http://www.macklin.cn/static/images/sales.gif"/> | 108.00 | 224.00,78.00 | 108.00 | 224.00,现货 | 现货 | 现货, B801885-1g |  B801885-5g |  B801885-25g,              <table class="productOverViewInfo" cellspacing="5" cellpadding="0" width="99%"><tr style="BACKGROUND-COLOR: #fff"><th width="100">熔点:</th>                    <td>137-142 °C(lit.)</td>                </tr><tr style="BACKGROUND-COLOR: #fff"><th width="100">储存条件:</th>                    <td>室温</td>                </tr></table>
B801912 11'-双(二叔丁基膦基)二茂铁 98%,11'-双(二-叔丁基膦基)二茂铁 ,84680-95-5,C<sub>26</sub>H<sub>44</sub>FeP<sub>2</sub> , 11'-Bis(di-<i>tert</i>-butylphosphino)ferrocene,98% | 98%,196.00 | 598.00,196.00 | 598.00,现货 | 现货, B801912-250mg |  B801912-1g,              <table class="productOverViewInfo" cellspacing="5" cellpadding="0" width="99%"><tr style="BACKGROUND-COLOR: #fff"><th width="100">熔点:</th>                    <td>181-182°C  (dec.)</td>                </tr><tr style="BACKGROUND-COLOR: #fff"><th width="100">储存条件:</th>                    <td>室温</td>                </tr><tr style="BACKGROUND-COLOR: #fff"><th width="100">颜色:</th>                    <td>橙色到红色  和/或 块状粉末固体晶体</td>                </tr></table>
T818796 四丁基溴化铵 AR99.0%,四丁基溴化铵 ;溴化四丁铵 NNN-三丁基-1-丁铵溴化物四正丁基溴化铵 ,1643-19-2,C<sub>16</sub>H<sub>36</sub>NBr , Tetrabutylammonium bromide,AR99.0% | AR99.0% | AR99.0%,38.00 | 62.00 | 218.00,38.00 | 62.00 | 218.00,现货 | 现货 | 现货, T818796-25g |  T818796-100g |  T818796-500g,              <table class="productOverViewInfo" cellspacing="5" cellpadding="0" width="99%"><tr style="BACKGROUND-COLOR: #fff"><th width="100">折光率:</th>                    <td>n20/D  1.422</td>                </tr><tr style="BACKGROUND-COLOR: #fff"><th width="100">熔点:</th>                    <td>102-106 °C(lit.)</td>                </tr><tr style="BACKGROUND-COLOR: #fff" id="itmdet-baseCnt-formula"><th width="100">密度:</th>                    <td>1.039 g/mL at  25 °C</td>                </tr><tr style="BACKGROUND-COLOR: #fff"><th width="100">储存条件:</th>                    <td>室温</td>                </tr></table>
